rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,match_type,levenshtein
1790,creare,creare,create,VERB,crear,crear,VERB,levenshtein,1.0
1797,colore,colore,color,NOUN,color,color,NOUN,levenshtein,0.8333333333333334
1799,talento,talento,talent,NOUN,talento,talento,NOUN,exact,1.0
1803,peso,peso,weight,NOUN,peso,peso,NOUN,exact,1.0
1806,evitare,evitare,avoid,VERB,evitar,evitar,VERB,levenshtein,1.0
1810,naturale,naturale,natural,ADJ,natural,natural,ADJ,levenshtein,1.0
1812,famoso,famoso,famous,ADJ,famoso,famoso,ADJ,exact,1.0
1814,cento,cento,hundred,NUM,centenar,centenar,NOUN,wordnet,0.5
1815,cadere,cadere,fall,VERB,caer,caer,VERB,levenshtein,0.8
1829,breve,breve,brief,ADJ,breve,breve,ADJ,exact,1.0
1831,ottenere,ottenere,obtain,VERB,obtener,obtener,VERB,levenshtein,0.8571428571428572
1834,trucco,trucco,trick,NOUN,truco,truco,NOUN,levenshtein,0.8333333333333334
1836,locale,locale,local,ADJ,local,local,ADJ,levenshtein,1.0
1840,opinione,opinione,opinion,NOUN,opinión,opinión,NOUN,levenshtein,0.8571428571428572
1850,canta,cantare,sing,VERB,cantar,cantar,VERB,levenshtein,1.0
1853,interno,interno,internal,ADJ,interno,interno,ADJ,exact,1.0
1855,distanza,distanza,distance,NOUN,distancia,distancia,NOUN,levenshtein,0.7777777777777778
1861,mantenere,mantenere,maintain,VERB,mantener,mantener,VERB,levenshtein,1.0
1864,discorso,discorso,speech,NOUN,discurso,discurso,NOUN,levenshtein,0.875
1865,calmo,calmo,calm,ADJ,calma,calma,NOUN,levenshtein,0.8
1872,salire,salire,go out,VERB,salir,salir,VERB,levenshtein,1.0
1882,perfettamente,perfettamente,perfectly,ADV,perfectamente,perfectamente,ADV,levenshtein,0.9230769230769231
1887,preoccupato,preoccupato,worried,ADJ,preocupado,preocupado,ADJ,levenshtein,0.8181818181818181
1888,mentito,mentire,lied,VERB,mintió,mentir,VERB,wordnet,0.6666666666666667
1895,responsabilità,responsabilità,responsibility,NOUN,responsabilidad,responsabilidad,NOUN,levenshtein,0.8
1897,magnifico,magnifico,magnificent,ADJ,magnífico,magnífico,ADJ,exact,1.0
1902,cadavere,cadavere,dead body,NOUN,cadáver,cadáver,NOUN,levenshtein,0.8571428571428572
1904,operazione,operazione,operation,NOUN,operación,operación,NOUN,levenshtein,0.8888888888888888
1907,tecnologia,tecnologia,technology,NOUN,tecnología,tecnología,NOUN,exact,1.0
1908,porte,porta,doors,VERB,puertas,puerta,NOUN,wordnet,0.5714285714285714
1925,soluzione,soluzione,solution,NOUN,solución,solución,NOUN,levenshtein,0.875
1941,scudi,scudo,shields,NOUN,escudos,escudo,NOUN,wordnet,0.7142857142857143
1943,motore,motore,motor,NOUN,motor,motor,NOUN,levenshtein,0.8333333333333334
1945,genio,genio,genius,NOUN,genio,genio,NOUN,exact,1.0
1946,europa,Europa,Europe,PROPN,europa,europa,PROPN,exact,1.0
1948,creatura,creatura,creature,NOUN,criatura,criatura,PROPN,levenshtein,0.875
1955,potente,potente,powerful,ADJ,poderoso,poderoso,ADJ,wordnet,0.375
1956,particolare,particolare,particular,ADJ,particular,particular,ADJ,levenshtein,0.9
1964,centrale,centrale,central,ADJ,central,central,ADJ,levenshtein,1.0
1979,immaginare,immaginare,imagine,VERB,imaginar,imaginar,VERB,levenshtein,0.8888888888888888
1982,camion,camion,truck,NOUN,camión,camión,NOUN,exact,1.0
1992,nervoso,nervoso,nervous,ADJ,nervioso,nervioso,ADJ,levenshtein,0.875
2001,principale,principale,principal,ADJ,principal,principal,ADJ,levenshtein,1.0
2007,castello,castello,castle,NOUN,castillo,castillo,PROPN,levenshtein,0.875
2015,fabbrica,fabbrica,factory,NOUN,fábrica,fábrica,NOUN,wordnet,0.75
2017,valore,valore,value,NOUN,valor,valor,NOUN,levenshtein,0.8333333333333334
2029,grida,gridare,shout,VERB,gritar,gritar,VERB,levenshtein,0.8333333333333334
2034,laboratorio,laboratorio,laboratory,NOUN,laboratorio,laboratorio,NOUN,exact,1.0
2037,amante,amante,lover,NOUN,amante,amante,NOUN,exact,1.0
2038,vendere,vendere,sell,VERB,vender,vender,VERB,levenshtein,1.0
2048,continuo,continuo,continuous,ADJ,continuo,continuo,ADJ,exact,1.0
2049,tomba,tomba,tomb,NOUN,tumba,tumba,NOUN,levenshtein,0.8
2060,sensori,sensore,sensors,NOUN,sensores,sensor,NOUN,levenshtein,0.875
2061,premio,premio,prize,NOUN,premio,premio,PROPN,exact,1.0
2071,grazia,grazia,grace,NOUN,gracia,gracia,NOUN,levenshtein,0.8333333333333334
2072,esistenza,esistenza,existence,NOUN,existencia,existencia,NOUN,levenshtein,0.9
2080,proteggere,proteggere,to protect,VERB,proteger,proteger,VERB,levenshtein,0.8888888888888888
2082,pilota,pilota,pilot,NOUN,piloto,piloto,NOUN,levenshtein,0.8333333333333334
2083,paziente,paziente,patient,NOUN,paciente,paciente,ADJ,levenshtein,0.875
2087,assistente,assistente,assistant,NOUN,asistente,asistente,NOUN,levenshtein,0.9
2090,francia,Francia,France,PROPN,francia,francia,PROPN,exact,1.0
2092,diario,Diario,diary,NOUN,diario,diario,NOUN,exact,1.0
2109,violenza,violenza,violence,NOUN,violencia,violencia,NOUN,levenshtein,1.0
2119,tempio,tempio,temple,NOUN,templo,templo,NOUN,levenshtein,0.8333333333333334
2129,muovere,muovere,move,VERB,mover,mover,VERB,levenshtein,0.8333333333333334
2137,fianco,fianco,flank,NOUN,flanco,flanco,NOUN,levenshtein,0.8333333333333334
2142,banda,banda,band,NOUN,banda,banda,NOUN,exact,1.0
2145,russo,russo,Russian,ADJ,ruso,ruso,ADJ,levenshtein,0.8
2147,ombra,ombra,shadow,NOUN,sombra,sombra,NOUN,levenshtein,0.8333333333333334
2149,morale,morale,moral,ADJ,moral,moral,ADJ,levenshtein,1.0
2151,coscienza,coscienza,consciousness,NOUN,conciencia,conciencia,NOUN,levenshtein,0.9
2172,medicina,medicina,medicine,NOUN,medicamento,medicamento,NOUN,wordnet,0.5454545454545454
2189,mercato,mercato,market,NOUN,mercado,mercado,NOUN,levenshtein,0.8571428571428572
2195,whisky,Whisky,whiskey,PROPN,whisky,whisky,NOUN,exact,1.0
2198,obiettivo,obiettivo,objective,NOUN,objetivo,objetivo,NOUN,levenshtein,0.7777777777777778
2202,impressione,impressione,impression,NOUN,impresión,impresión,NOUN,levenshtein,0.8
2207,torre,torre,tower,NOUN,torre,torre,NOUN,exact,1.0
2224,fantasma,fantasma,ghost,NOUN,fantasma,fantasma,NOUN,exact,1.0
2230,televisione,televisione,television,NOUN,televisión,televisión,NOUN,levenshtein,0.9
2234,comodo,comodo,comfortable,ADJ,cómodo,cómodo,ADJ,exact,1.0
2235,assurdo,assurdo,absurd,ADJ,absurdo,absurdo,ADJ,levenshtein,0.8571428571428572
2247,profondo,profondo,deep,ADJ,profundo,profundo,ADJ,levenshtein,0.875
2260,universo,universo,universe,NOUN,universo,universo,NOUN,exact,1.0
2261,teoria,teoria,theory,NOUN,teoría,teoría,NOUN,exact,1.0
2263,patria,Patria,homeland,NOUN,patria,patrio,ADJ,exact,1.0
2266,mappa,mappa,map,NOUN,mapa,mapa,NOUN,levenshtein,0.8
2276,preparato,preparare,prepared,VERB,preparado,preparado,ADJ,levenshtein,0.7777777777777778
2298,neve,neve,snow,NOUN,nieve,nieve,NOUN,levenshtein,0.8
2300,istante,istante,instant,NOUN,instante,instante,NOUN,levenshtein,0.875
2312,superiore,superiore,superior,ADJ,superior,superior,ADJ,levenshtein,0.8888888888888888
2316,merito,merito,merit,NOUN,mérito,mérito,NOUN,exact,1.0
2335,funerale,funerale,funeral,ADJ,funeral,funeral,NOUN,levenshtein,1.0
2360,edificio,edificio,building,NOUN,edificio,edificio,NOUN,exact,1.0
2361,delitto,delitto,crime,NOUN,delito,delito,NOUN,levenshtein,0.8571428571428572
2365,aeroporto,aeroporto,airport,NOUN,aeropuerto,aeropuerto,NOUN,levenshtein,0.8
2368,traduzione,traduzione,translation,NOUN,traducción,traducción,NOUN,levenshtein,0.8
2371,magia,magia,magic,NOUN,magia,magia,NOUN,exact,1.0
2377,accesso,accesso,access,NOUN,acceso,acceso,NOUN,levenshtein,0.8571428571428572
2380,ultimamente,ultimamente,lately,ADV,últimamente,últimamente,ADV,exact,1.0
2382,risultato,risultato,result,NOUN,resultado,resultado,NOUN,levenshtein,0.7777777777777778
2383,pista,pista,track,NOUN,pista,pista,NOUN,exact,1.0
2385,costruire,costruire,build,VERB,construir,construir,VERB,levenshtein,0.8888888888888888
2397,tazza,tazza,cup,NOUN,taza,taza,NOUN,levenshtein,0.8
2403,pantaloni,pantalone,trousers,NOUN,pantalones,pantalón,NOUN,levenshtein,0.9
2413,ministro,ministro,minister,NOUN,ministro,ministro,NOUN,exact,1.0
2419,dillo,dillo,say that,VERB,dilo,dilir,VERB,levenshtein,0.8
2433,olmo,olmo,Elm tree,NOUN,olmo,olmo,NOUN,exact,1.0
2445,specialmente,specialmente,especially,ADV,especialmente,especialmente,ADV,levenshtein,0.9230769230769231
2446,preferirei,preferirei,I&#39;d rather,VERB,preferiría,preferir,VERB,levenshtein,0.8
2451,falso,falso,false,ADJ,falso,falso,ADJ,exact,1.0
2459,bestia,bestia,beast,NOUN,bestia,bestia,NOUN,exact,1.0
2461,studiare,studiare,study,VERB,estudiar,estudiar,VERB,levenshtein,0.875
2466,risolvere,risolvere,solve,VERB,resolver,resolver,VERB,levenshtein,0.875
2470,pollo,pollo,chicken,NOUN,pollo,pollo,NOUN,exact,1.0
2472,pagina,pagina,page,NOUN,página,página,NOUN,exact,1.0
2474,movimento,movimento,movement,NOUN,movimiento,movimiento,NOUN,levenshtein,0.9
2475,membri,membro,members,NOUN,miembros,miembro,NOUN,wordnet,0.75
2481,montagna,montagna,mountain,NOUN,montaña,montaña,NOUN,levenshtein,0.8571428571428572
2501,conversazione,conversazione,conversation,NOUN,conversación,conversación,NOUN,levenshtein,0.9166666666666666
2502,autobus,autobus,bus,NOUN,autobús,autobús,NOUN,exact,1.0
2509,gusto,gusto,taste,NOUN,gusto,gusto,NOUN,exact,1.0
2514,soffrire,soffrire,suffer,VERB,sufrir,sufrir,VERB,levenshtein,0.8333333333333334
2515,scale,scala,stairs,NOUN,escaleras,escalera,NOUN,wordnet,0.5555555555555556
2519,promessa,promessa,promise,NOUN,promesa,promesa,NOUN,levenshtein,0.875
2530,totale,totale,total,ADJ,total,total,ADJ,levenshtein,1.0
2534,privato,privato,private,VERB,privado,privado,ADJ,levenshtein,0.8571428571428572
2538,ingresso,ingresso,entrance,NOUN,entrada,entrada,NOUN,wordnet,0.25
2540,franchi,franco,francs,PROPN,francos,francos,NOUN,levenshtein,0.8571428571428572
2546,respirare,respirare,breathe,VERB,respirar,respirar,VERB,levenshtein,1.0
2549,infermeria,infermeria,Infirmary,NOUN,enfermería,enfermería,NOUN,levenshtein,0.8
2566,crudele,crudele,cruel,ADJ,cruel,cruel,ADJ,levenshtein,0.8333333333333334
2583,direttamente,diretto,directly,VERB,directamente,directamente,ADV,wordnet,0.5
2592,fotografia,fotografia,photography,NOUN,fotografía,fotografía,NOUN,exact,1.0
2613,patto,patto,pact,NOUN,pacto,pacto,NOUN,levenshtein,0.8
2624,versione,versione,version,NOUN,versión,versión,NOUN,levenshtein,0.8571428571428572
2658,praticamente,praticamente,practically,ADV,prácticamente,prácticamente,ADV,levenshtein,0.8461538461538461
2662,ali,ala,wings,NOUN,alas,ala,NOUN,wordnet,0.75
2666,prigionieri,prigioniero,prisoners,ADJ,prisioneros,prisionero,NOUN,wordnet,0.7272727272727273
2667,personalmente,personalmente,personally,ADV,personalmente,personalmente,ADV,exact,1.0
2670,ovvio,ovvio,obvious,ADJ,obvio,obvio,ADJ,levenshtein,0.8
2672,minimo,minimo,minimum,ADJ,mínimo,mínimo,ADJ,exact,1.0
2673,impulso,impulso,impulse,NOUN,impulso,impulso,NOUN,exact,1.0
2676,canto,canto,I sing,NOUN,canto,canto,NOUN,exact,1.0
2683,sufficiente,sufficiente,sufficient,ADJ,suficiente,suficiente,ADJ,levenshtein,1.0
2689,panico,panico,panic,NOUN,pánico,pánico,NOUN,exact,1.0
2695,cieco,cieco,blind,ADJ,ciego,ciego,ADJ,levenshtein,0.8
2699,Antonio,Antonio,Anthony,PROPN,antonio,antonio,PROPN,exact,1.0
2703,abbandonato,abbandonare,abandoned,VERB,abandonado,abandonar,VERB,wordnet,0.7
2707,inverno,inverno,winter,NOUN,invierno,invierno,NOUN,levenshtein,0.875
2709,firmare,firmare,sign,VERB,firmar,firmar,VERB,levenshtein,1.0
2724,moda,moda,fashion,NOUN,moda,moda,NOUN,exact,1.0
2725,mistero,mistero,mystery,NOUN,misterio,misterio,NOUN,levenshtein,0.875
2728,eccellente,eccellente,excellent,ADJ,excelente,excelente,ADJ,levenshtein,0.8
2729,chiaramente,chiaramente,clearly,ADV,claramente,claramente,ADV,levenshtein,0.8181818181818181
2736,suicidio,suicidio,suicide,NOUN,suicidio,suicidio,NOUN,exact,1.0
2739,proposta,proposta,proposal,NOUN,propuesta,propuesta,NOUN,levenshtein,0.7777777777777778
2743,fumare,fumare,to smoke,VERB,fumar,fumar,VERB,levenshtein,1.0
2750,telefonato,telefonare,phoned,VERB,llamó por teléfono,llamar,VERB,wordnet,0.2777777777777778
2755,resistere,resistere,resist,VERB,resistir,resistir,VERB,levenshtein,0.875
2756,primavera,primavera,spring,NOUN,primavera,primavera,NOUN,exact,1.0
2763,cammino,cammino,I walk,NOUN,camino,camino,NOUN,levenshtein,0.8571428571428572
2769,miseria,miseria,misery,NOUN,miseria,miseria,NOUN,exact,1.0
2781,ascensore,ascensore,elevator,NOUN,ascensor,ascensor,NOUN,levenshtein,0.8888888888888888
2818,impronte,impronta,fingerprints,NOUN,huellas dactilares,huella,NOUN,wordnet,0.11111111111111116
2819,dirai,dirai,you will say,VERB,dirás,dirar,VERB,wordnet,0.6
2836,legale,legale,legal,ADJ,legal,legal,ADJ,levenshtein,1.0
2838,crisi,crisi,crisis,NOUN,crisis,crisis,NOUN,levenshtein,0.8333333333333334
2847,romantico,romantico,romantic,ADJ,romántico,romántico,ADJ,exact,1.0
2849,onesto,onesto,honest,ADJ,honesto,honesto,ADJ,levenshtein,0.8571428571428572
2866,italiano,italiano,Italian,ADJ,italiano,italiano,ADJ,exact,1.0
2872,superficie,superficie,surface,NOUN,superficie,superficie,NOUN,exact,1.0
2875,esplosione,esplosione,explosion,NOUN,explosión,explosión,NOUN,levenshtein,0.7777777777777778
2879,conseguenze,conseguenza,consequences,NOUN,consecuencias,consecuencia,NOUN,levenshtein,0.8461538461538461
2883,veleno,veleno,poison,NOUN,veneno,veneno,NOUN,levenshtein,0.8333333333333334
2888,regno,regno,kingdom,NOUN,reino,reino,PROPN,levenshtein,0.8
2892,nazione,nazione,nation,NOUN,nación,nación,NOUN,levenshtein,0.8333333333333334
2921,pensione,pensione,pension,NOUN,pensión,pensión,NOUN,levenshtein,0.8571428571428572
2925,danza,danza,dance,NOUN,bailar,bailar,VERB,wordnet,0.33333333333333337
2926,coincidenza,coincidenza,coincidence,NOUN,coincidencia,coincidencia,NOUN,levenshtein,1.0
2936,resistenza,resistenza,resistence,NOUN,resistencia,resistencia,NOUN,levenshtein,1.0
2940,miele,miele,honey,NOUN,miel,miel,NOUN,levenshtein,1.0
2946,concerto,concerto,concert,NOUN,concierto,concierto,NOUN,levenshtein,0.8888888888888888
2948,brillante,brillante,brilliant,ADJ,brillante,brillante,ADJ,exact,1.0
2956,incubo,incubo,nightmare,NOUN,pesadilla,pesadilla,NOUN,wordnet,0.0
2958,firma,firma,signature,NOUN,firma,firma,NOUN,exact,1.0
2963,cella,cella,cell,NOUN,celúla,celúla,NOUN,levenshtein,0.8333333333333334
2964,canale,canale,channel,NOUN,canal,canal,NOUN,levenshtein,1.0
2979,maniera,maniera,manner,NOUN,manera,manera,NOUN,levenshtein,0.8571428571428572
2980,fase,fase,phase,NOUN,fase,fase,NOUN,exact,1.0
2987,artista,artista,artist,NOUN,artista,artista,NOUN,exact,1.0
2988,affetto,affetto,affection,ADJ,afecto,afecto,NOUN,levenshtein,0.8333333333333334
2994,pago,pago,I pay,ADJ,pago,pago,NOUN,exact,1.0
2998,credito,credito,credit,NOUN,crédito,crédito,NOUN,exact,1.0
3009,facilmente,facilmente,easily,ADV,fácilmente,fácilmente,ADV,exact,1.0
3011,episodio,episodio,episode,NOUN,episodio,episodio,NOUN,exact,1.0
3012,deserto,deserto,desert,ADJ,desierto,desierto,NOUN,levenshtein,0.875
3016,urgente,urgente,urgent,ADJ,urgente,urgente,ADJ,exact,1.0
3023,negativo,negativo,negative,ADJ,negativo,negativo,ADJ,exact,1.0
3032,straordinario,straordinario,extraordinary,ADJ,extraordinario,extraordinario,ADJ,levenshtein,0.8571428571428572
3036,rivoluzione,rivoluzione,Revolution,NOUN,revolución,revolución,NOUN,levenshtein,0.8
3038,papa,Papa,Pope,PROPN,papa,papa,PROPN,exact,1.0
3040,modello,modello,model,NOUN,modelo,modelo,NOUN,levenshtein,0.8571428571428572
3052,geloso,geloso,jealous,ADJ,celoso,celoso,ADJ,levenshtein,0.8333333333333334
3063,frase,frase,phrase,NOUN,frase,frase,NOUN,exact,1.0
3067,esperto,esperto,expert,NOUN,experto,experto,NOUN,levenshtein,0.8571428571428572
3071,criminale,criminale,criminal,ADJ,delincuente,delincuente,NOUN,wordnet,0.18181818181818177
3072,ambiente,ambiente,environment,NOUN,ambiente,ambiente,NOUN,exact,1.0
3075,tette,tetta,boobs,NOUN,tetas,teta,NOUN,wordnet,0.6
3080,protezione,protezione,protection,NOUN,proteccion,proteccion,PROPN,levenshtein,0.8
3081,onda,onda,wave,NOUN,ola,ola,NOUN,wordnet,0.5
3083,nazionale,nazionale,national,ADJ,nacional,nacional,ADJ,levenshtein,1.0
3087,lago,lago,lake,NOUN,lago,lago,NOUN,exact,1.0
3093,barba,barba,beard,NOUN,barba,barba,NOUN,exact,1.0
3095,ambulanza,ambulanza,ambulance,NOUN,ambulancia,ambulancia,NOUN,levenshtein,0.8
3109,civile,civile,civil,ADJ,civil,civil,ADJ,levenshtein,0.8333333333333334
3117,sí,sí,Yes,VERB,sí,sí,INTJ,exact,1.0
3120,pura,puro,pure,ADJ,puro,puro,ADJ,exact,1.0
3122,originale,originale,original,ADJ,original,original,ADJ,levenshtein,1.0
3134,accompagno,accompagno,I accompany,NOUN,acompaño,acompañar,VERB,levenshtein,0.7777777777777778
3138,traffico,traffico,traffic,NOUN,tráfico,tráfico,NOUN,levenshtein,0.8571428571428572
3147,divorzio,divorzio,divorce,NOUN,divorcio,divorcio,NOUN,levenshtein,0.875
3150,copia,copia,copy,NOUN,copiar,copiar,VERB,levenshtein,0.8333333333333334
3155,agenzia,agenzia,agency,NOUN,agencia,agencia,NOUN,levenshtein,0.8571428571428572
3161,nobile,nobile,noble,ADJ,noble,noble,ADJ,levenshtein,1.0
3166,interessato,interessato,interested,ADJ,interesado,interesado,ADJ,levenshtein,0.8181818181818181
3167,gratis,gratis,free,ADV,gratis,gratis,PROPN,exact,1.0
3169,dispositivo,dispositivo,device,NOUN,dispositivo,dispositivo,NOUN,exact,1.0
3174,atmosfera,atmosfera,atmosphere,NOUN,atmósfera,atmósfero,ADJ,exact,1.0
3188,inventato,inventare,invented,VERB,inventado,inventado,ADJ,levenshtein,0.7777777777777778
3189,ideale,ideale,ideal,ADJ,ideal,ideal,ADJ,levenshtein,1.0
3192,esterno,esterno,external,ADJ,externo,externo,ADJ,levenshtein,0.8571428571428572
3193,difendere,difendere,stick up for,VERB,defender,defender,VERB,levenshtein,0.875
3210,offesa,offesa,offense,NOUN,ofensa,ofensa,NOUN,levenshtein,0.8333333333333334
3242,occupo,occupo,I occupy,VERB,ocupo,ocupar,VERB,levenshtein,0.8333333333333334
3249,eccellenza,eccellenza,excellence,NOUN,excelencia,excelencia,NOUN,levenshtein,0.8181818181818181
3259,sincero,sincero,sincere,ADJ,sincero,sincero,ADJ,exact,1.0
3261,rifugio,rifugio,refuge,NOUN,refugio,refugio,NOUN,levenshtein,0.8571428571428572
3275,familiare,familiare,familiar,ADJ,familiar,familiar,ADJ,levenshtein,1.0
3281,corona,corona,crown,NOUN,corona,corona,NOUN,exact,1.0
3287,tema,tema,theme,NOUN,tema,tema,NOUN,exact,1.0
3296,comportamento,comportamento,behavior,NOUN,comportamiento,comportamiento,NOUN,levenshtein,0.9285714285714286
3305,struttura,struttura,structure,NOUN,estructura,estructura,NOUN,levenshtein,0.8
3308,salutare,salutare,greet,VERB,saludar,saludar,VERB,levenshtein,0.8571428571428572
3310,recente,recente,recent,ADJ,reciente,reciente,ADJ,levenshtein,0.875
3313,limite,limite,limit,NOUN,límite,límite,NOUN,exact,1.0
3314,italia,Italia,Italy,PROPN,italia,italia,PROPN,exact,1.0
3315,fresco,fresco,fresh,ADJ,fresco,fresco,ADJ,exact,1.0
3324,armata,armato,armed,VERB,armado,armado,ADJ,levenshtein,0.8333333333333334
3327,visione,visione,vision,NOUN,visión,visión,NOUN,levenshtein,0.8333333333333334
3332,saluto,saluto,greeting,NOUN,saludo,saludo,NOUN,levenshtein,0.8333333333333334
3333,rinunciare,rinunciare,renounce,VERB,renuncia,renunciar,VERB,levenshtein,0.7777777777777778
3340,logica,logica,logic,NOUN,lógica,lógica,NOUN,exact,1.0
3344,divertiti,divertire,have fun,VERB,divertirse,divertir él,VERB,levenshtein,0.8
3345,disposizione,disposizione,disposition,NOUN,disposición,disposición,NOUN,levenshtein,0.9090909090909091
3359,decisamente,decisamente,decidedly,ADV,decididamente,decididamente,ADV,levenshtein,0.7692307692307692
3367,scienza,scienza,science,NOUN,ciencia,ciencia,NOUN,levenshtein,0.875
3369,precedenti,precedente,precedents,ADJ,precedentes,precedente,NOUN,levenshtein,0.9090909090909091
3389,sequenza,sequenza,sequence,NOUN,secuencia,secuencia,NOUN,levenshtein,0.8888888888888888
3394,oscuro,oscuro,dark,ADJ,oscuro,oscuro,ADJ,exact,1.0
